Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE38966278832259,Sat Feb 15 10:56:46 CET 2020,-3372.36,EUR,Et est voluptatibus perferendis voluptatem.
Jos,BE69771770897312,BE22652536218561,Mon Feb 03 12:46:28 CET 2020,353.72,EUR,Quia atque illo eos sunt praesentium quasi.
Jos,BE69771770897312,BE87943403886111,Tue Feb 18 01:10:10 CET 2020,-2555.32,EUR,Laborum ratione incidunt voluptate beatae veritatis.
Jos,BE69771770897312,BE53078597216084,Tue Feb 18 23:54:42 CET 2020,4414.9,EUR,Accusantium consequatur aut in architecto.
Jos,BE69771770897312,BE87912434648872,Tue Feb 11 23:43:33 CET 2020,690.57,EUR,Libero doloremque perspiciatis assumenda maiores.
Jos,BE69771770897312,BE31529237168865,Sat Feb 15 07:48:19 CET 2020,78.15,EUR,Eum tempore cumque.
Jos,BE69771770897312,BE85452053997069,Mon Feb 03 10:12:16 CET 2020,-4397.5,EUR,Iusto qui perspiciatis nobis quo veniam id.
Jos,BE69771770897312,BE28879848531238,Tue Feb 18 03:49:00 CET 2020,2394.18,EUR,Dignissimos eum non necessitatibus.
Jos,BE69771770897312,BE91792798114111,Mon Feb 17 16:15:45 CET 2020,1070.52,EUR,Voluptates asperiores quo quo modi.
Jos,BE69771770897312,BE67923628990783,Sat Feb 08 00:36:21 CET 2020,3921.16,EUR,Ut cum repellendus mollitia accusantium ut.
Jos,BE69771770897312,BE88482809580987,Wed Feb 05 15:33:32 CET 2020,767.84,EUR,Et consectetur aut.
Jos,BE69771770897312,BE65722309376639,Sat Feb 15 18:08:25 CET 2020,-496.23,EUR,Distinctio sunt adipisci rem velit.
Jos,BE69771770897312,BE40203249584535,Wed Feb 12 07:46:57 CET 2020,-4843.64,EUR,Accusantium repellat minima in dolor necessitatibus.
Jos,BE69771770897312,BE36587443496376,Sun Feb 16 19:41:51 CET 2020,402.91,EUR,Consequatur doloremque expedita officia.
Jos,BE69771770897312,BE95252123121233,Sun Feb 16 04:40:36 CET 2020,-717.62,EUR,Veniam rerum ipsa tempora qui quaerat.
Jos,BE69771770897312,BE21769494794146,Sun Feb 09 17:51:07 CET 2020,-18.52,EUR,Ipsa deleniti magnam ipsa.
Jos,BE69771770897312,BE95616691933250,Thu Feb 13 17:34:25 CET 2020,2217.66,EUR,Temporibus iusto tempora earum non error.
Jos,BE69771770897312,BE74168285831491,Sat Feb 15 10:17:11 CET 2020,1534.64,EUR,Exercitationem soluta unde recusandae.
Jos,BE69771770897312,BE42425460154154,Sun Feb 09 10:03:06 CET 2020,2130.39,EUR,Nam hic nulla id sed dicta eos ullam.
Jos,BE69771770897312,BE48943093774903,Wed Feb 19 05:37:19 CET 2020,-268.54,EUR,Quis voluptas iusto blanditiis commodi inventore.
Jos,BE69771770897312,BE02753063082758,Thu Feb 13 23:16:13 CET 2020,858.23,EUR,Aut voluptatem quae.
Jos,BE69771770897312,BE37611430038150,Thu Feb 13 01:39:03 CET 2020,2998.39,EUR,Corporis rem et nisi nemo eum.
Jos,BE69771770897312,BE08245616972153,Tue Feb 11 01:22:56 CET 2020,1629.38,EUR,Modi doloribus repellendus aut.
